episode_id,overpass_utc,platform,sensor_type,collection,n_scenes,aoi_coverage,cloud_pct,hours_from_begin,hours_after_end,during_episode,window_label,scene_ids
169884_0,2022-06-26T15:24:16Z,Landsat,optical,landsat-c2-l2,2,0.184,5.5,30.4,27.4,False,post,LE07_L2SP_026030_20220626_02_T1;LE07_L2SP_026031_20220626_02_T1
170382_0,2022-06-05T16:59:52Z,Landsat,optical,landsat-c2-l2,1,1.0,85.7,-8.5,-26.0,False,pre,LC08_L2SP_027031_20220605_02_T1
170382_0,2022-06-05T17:12:17Z,Sentinel-2,optical,sentinel-2-l2a,4,0.934,100.0,-8.3,-25.8,False,pre,S2B_15TVG_20220605_0_L2A;S2B_15TUG_20220605_0_L2A;S2B_15TVF_20220605_0_L2A;S2B_15TUF_20220605_0_L2A
170382_0,2022-06-06T16:53:10Z,Landsat,optical,landsat-c2-l2,1,0.3527,91.3,15.39,-2.11,True,during,LC09_L2SP_026031_20220606_02_T2
170382_0,2022-06-08T17:22:14Z,Sentinel-2,optical,sentinel-2-l2a,4,1.0,44.9,63.87,46.37,False,post,S2B_15TVG_20220608_0_L2A;S2B_15TUG_20220608_0_L2A;S2B_15TVF_20220608_0_L2A;S2B_15TUF_20220608_0_L2A
170387_0,2022-06-13T16:59:13Z,Landsat,optical,landsat-c2-l2,2,1.0,77.4,-42.51,-52.51,False,pre,LC09_L2SP_027030_20220613_02_T1;LC09_L2SP_027031_20220613_02_T1
170387_0,2022-06-13T17:22:15Z,Sentinel-2,optical,sentinel-2-l2a,2,1.0,99.4,-42.13,-52.13,False,pre,S2A_15TVG_20220613_0_L2A;S2A_15TUG_20220613_0_L2A
170387_0,2022-06-14T15:31:01Z,Landsat,optical,landsat-c2-l2,1,1.0,3.0,-19.98,-29.98,False,pre,LE07_L2SP_027031_20220614_02_T1
170387_0,2022-06-14T16:53:48Z,Landsat,optical,landsat-c2-l2,1,0.7443,0.0,-18.6,-28.6,False,pre,LC08_L2SP_026031_20220614_02_T1
170387_0,2022-06-15T17:12:12Z,Sentinel-2,optical,sentinel-2-l2a,2,1.0,96.2,5.7,-4.3,True,during,S2B_15TVG_20220615_0_L2A;S2B_15TUG_20220615_0_L2A
170975_0,2022-06-23T17:22:00Z,Sentinel-2,optical,sentinel-2-l2a,4,1.0,1.9,-38.63,-39.63,False,pre,S2A_15TUJ_20220623_0_L2A;S2A_14TQP_20220623_0_L2A;S2A_15TUH_20220623_0_L2A;S2A_14TQN_20220623_0_L2A
170975_0,2022-06-26T17:31:58Z,Sentinel-2,optical,sentinel-2-l2a,2,0.671,6.9,33.53,32.53,False,post,S2A_14TQP_20220626_0_L2A;S2A_14TQN_20220626_0_L2A
171117_0,2022-06-03T17:21:56Z,Sentinel-2,optical,sentinel-2-l2a,4,1.0,1.6,-43.63,-141.63,False,pre,S2A_15TUJ_20220603_0_L2A;S2A_14TQP_20220603_0_L2A;S2A_15TUH_20220603_0_L2A;S2A_14TQN_20220603_0_L2A
171117_0,2022-06-04T17:05:08Z,Landsat,optical,landsat-c2-l2,1,1.0,96.4,-19.91,-117.91,False,pre,LC09_L2SP_028030_20220604_02_T2
171117_0,2022-06-05T16:59:28Z,Landsat,optical,landsat-c2-l2,1,0.5027,87.1,3.99,-94.01,True,during,LC08_L2SP_027030_20220605_02_T1
171117_0,2022-06-06T17:31:43Z,Sentinel-2,optical,sentinel-2-l2a,2,0.0049,84.9,28.53,-69.47,True,during,S2A_15TUJ_20220606_0_L2A;S2A_14TQP_20220606_0_L2A
171117_0,2022-06-08T17:21:49Z,Sentinel-2,optical,sentinel-2-l2a,4,1.0,29.5,76.36,-21.64,True,during,S2B_15TUJ_20220608_0_L2A;S2B_14TQP_20220608_0_L2A;S2B_15TUH_20220608_0_L2A;S2B_14TQN_20220608_0_L2A
171799_0,2022-06-05T16:59:52Z,Landsat,optical,landsat-c2-l2,1,0.9018,85.7,-42.0,-50.5,False,pre,LC08_L2SP_027031_20220605_02_T1
171799_0,2022-06-05T17:12:15Z,Sentinel-2,optical,sentinel-2-l2a,2,1.0,99.9,-41.8,-50.3,False,pre,S2B_15TVG_20220605_0_L2A;S2B_15TVF_20220605_0_L2A
171799_0,2022-06-06T16:53:10Z,Landsat,optical,landsat-c2-l2,1,1.0,91.3,-18.11,-26.61,False,pre,LC09_L2SP_026031_20220606_02_T2
171799_0,2022-06-08T17:22:12Z,Sentinel-2,optical,sentinel-2-l2a,2,0.5479,46.5,30.37,21.87,False,post,S2B_15TVG_20220608_0_L2A;S2B_15TVF_20220608_0_L2A
171799_0,2022-06-09T15:25:30Z,Landsat,optical,landsat-c2-l2,1,1.0,54.0,52.43,43.93,False,post,LE07_L2SP_026031_20220609_02_T1
171800_0,2022-06-13T16:59:13Z,Landsat,optical,landsat-c2-l2,2,0.958,77.4,-47.01,-58.01,False,pre,LC09_L2SP_027030_20220613_02_T1;LC09_L2SP_027031_20220613_02_T1
171800_0,2022-06-13T17:22:13Z,Sentinel-2,optical,sentinel-2-l2a,1,0.5998,100.0,-46.63,-57.63,False,pre,S2A_15TVG_20220613_0_L2A
171800_0,2022-06-14T15:31:01Z,Landsat,optical,landsat-c2-l2,1,0.6386,3.0,-24.48,-35.48,False,pre,LE07_L2SP_027031_20220614_02_T1
171800_0,2022-06-14T16:53:48Z,Landsat,optical,landsat-c2-l2,1,1.0,0.0,-23.1,-34.1,False,pre,LC08_L2SP_026031_20220614_02_T1
171800_0,2022-06-15T17:12:10Z,Sentinel-2,optical,sentinel-2-l2a,1,1.0,93.7,1.2,-9.8,True,during,S2B_15TVG_20220615_0_L2A
171951_0,2022-07-05T17:11:50Z,Sentinel-2,optical,sentinel-2-l2a,1,1.0,44.9,-9.27,-11.3,False,pre,S2B_15TXH_20220705_0_L2A
171951_0,2022-07-07T17:02:02Z,Sentinel-2,optical,sentinel-2-l2a,1,1.0,98.3,38.57,36.53,False,post,S2A_15TXH_20220707_0_L2A
172130_0,2022-07-13T23:57:55Z,Sentinel-1,radar,sentinel-1-grd,1,1.0,,-39.7,-41.78,False,pre,S1A_IW_GRDH_1SDV_20220713T235742_20220713T235807_044089_054344
172130_0,2022-07-15T17:11:49Z,Sentinel-2,optical,sentinel-2-l2a,1,1.0,59.9,1.53,-0.55,True,during,S2B_15TXH_20220715_0_L2A
172130_0,2022-07-16T16:53:28Z,Landsat,optical,landsat-c2-l2,1,0.406,82.5,25.22,23.14,False,post,LC08_L2SP_026030_20220716_02_T1
172130_0,2022-07-17T16:47:06Z,Landsat,optical,landsat-c2-l2,2,1.0,41.0,49.12,47.04,False,post,LC09_L2SP_025030_20220717_02_T1;LC09_L2SP_025031_20220717_02_T1
172130_0,2022-07-17T17:02:01Z,Sentinel-2,optical,sentinel-2-l2a,1,1.0,29.7,49.37,47.28,False,post,S2A_15TXH_20220717_0_L2A
172468_0,2022-07-07T17:02:25Z,Sentinel-2,optical,sentinel-2-l2a,4,1.0,99.1,-24.46,-26.96,False,pre,S2A_15TXG_20220707_0_L2A;S2A_15TWG_20220707_0_L2A;S2A_15TXF_20220707_0_L2A;S2A_15TWF_20220707_0_L2A
172468_0,2022-07-08T15:17:50Z,Landsat,optical,landsat-c2-l2,1,0.9722,41.0,-2.2,-4.7,False,pre,LE07_L2SP_025031_20220708_02_T2
172468_0,2022-07-08T16:53:28Z,Landsat,optical,landsat-c2-l2,1,0.0232,90.3,-0.61,-3.11,False,pre,LC09_L2SP_026031_20220708_02_T2
172468_0,2022-07-09T16:47:41Z,Landsat,optical,landsat-c2-l2,1,1.0,4.2,23.29,20.79,False,post,LC08_L2SP_025031_20220709_02_T1
172468_0,2022-07-10T16:41:18Z,Landsat,optical,landsat-c2-l2,2,0.1933,11.8,47.19,44.69,False,post,LC09_L2SP_024031_20220710_02_T1;LC09_L2SP_024032_20220710_02_T1
172468_0,2022-07-10T17:12:21Z,Sentinel-2,optical,sentinel-2-l2a,4,0.7997,39.1,47.71,45.21,False,post,S2A_15TXG_20220710_0_L2A;S2A_15TWG_20220710_0_L2A;S2A_15TXF_20220710_0_L2A;S2A_15TWF_20220710_0_L2A
