episode_id,imagery_grade,has_flood_imagery,has_baseline_imagery,n_overpasses,n_flood_window,n_during_episode,n_radar_flood,n_clear_optical_flood,platforms,best_overpass_utc,best_platform,best_window_label,best_coverage,best_cloud_pct,best_hours_from_begin,baseline_overpass_utc,baseline_platform,first_overpass_utc,last_overpass_utc
192942_0,clear,True,False,3,3,0,0,1,Landsat;Sentinel-2,2024-06-05T16:40:09Z,Landsat,post,0.3268,5.6,44.34,,,2024-06-04T16:46:37Z,2024-06-05T16:40:09Z
193225_0,clear,True,False,2,2,1,0,1,Sentinel-2,2024-06-24T17:11:55Z,Sentinel-2,post,0.3674,0.0,58.7,,,2024-06-22T17:21:48Z,2024-06-24T17:11:55Z
193311_0,clear,True,False,15,8,9,1,2,Landsat;Sentinel-1;Sentinel-2,2024-06-26T16:58:53Z,Landsat,during,0.7688,0.1,123.73,,,2024-06-19T16:52:38Z,2024-07-02T23:58:03Z
193311_1,clear,True,False,4,4,2,0,2,Landsat;Sentinel-2,2024-06-24T17:11:58Z,Sentinel-2,during,1.0,3.4,0.2,,,2024-06-24T17:11:58Z,2024-06-29T17:11:59Z
193340_0,cloudy,False,True,4,1,0,0,0,Landsat;Sentinel-1;Sentinel-2,2024-06-20T16:46:20Z,Landsat,pre,1.0,83.4,-46.08,2024-06-20T23:58:04Z,Sentinel-1,2024-06-20T16:46:20Z,2024-06-24T17:11:43Z
193360_0,clear,True,True,14,7,8,1,2,Landsat;Sentinel-1;Sentinel-2,2024-06-26T17:01:52Z,Sentinel-2,during,0.3689,0.4,106.03,2024-06-20T23:58:04Z,Sentinel-1,2024-06-20T16:46:20Z,2024-07-02T23:58:03Z
193362_0,clear,True,True,7,6,4,1,2,Landsat;Sentinel-1;Sentinel-2,2024-06-26T17:01:52Z,Sentinel-2,during,1.0,0.0,5.03,2024-06-24T17:11:48Z,Sentinel-2,2024-06-24T17:11:48Z,2024-07-02T23:58:03Z
193362_1,radar,True,True,4,2,0,1,0,Landsat;Sentinel-1;Sentinel-2,2024-07-02T23:58:03Z,Sentinel-1,post,1.0,,60.97,2024-06-28T16:46:20Z,Landsat,2024-06-28T16:46:20Z,2024-07-02T23:58:03Z
193882_0,cloudy,False,False,2,1,0,0,0,Sentinel-2,2024-06-20T17:31:50Z,Sentinel-2,pre,1.0,99.8,-6.47,,,2024-06-20T17:31:50Z,2024-06-22T17:21:56Z
193888_0,clear,True,True,15,14,13,2,5,Landsat;Sentinel-1;Sentinel-2,2024-07-06T16:46:34Z,Landsat,during,1.0,16.0,130.78,2024-06-29T17:11:41Z,Sentinel-2,2024-06-29T17:11:41Z,2024-07-19T17:11:38Z
193917_0,cloudy,False,True,2,0,0,0,0,Sentinel-1;Sentinel-2,2024-06-12T00:22:30Z,Sentinel-1,pre,1.0,,-24.87,2024-06-12T00:22:30Z,Sentinel-1,2024-06-12T00:22:30Z,2024-06-12T17:22:25Z
193922_0,clear,True,False,10,5,7,1,2,Landsat;Sentinel-1;Sentinel-2,2024-06-26T16:59:17Z,Landsat,during,0.5786,4.7,58.99,,,2024-06-22T17:22:30Z,2024-07-02T17:22:29Z
193924_0,cloudy,False,False,2,1,0,0,0,Sentinel-2,2024-06-22T17:21:54Z,Sentinel-2,post,1.0,99.9,13.88,,,2024-06-20T17:31:44Z,2024-06-22T17:21:54Z
194055_0,cloudy,False,True,2,1,0,0,0,Sentinel-1;Sentinel-2,2024-07-04T17:12:16Z,Sentinel-2,post,1.0,58.8,43.55,2024-07-01T00:13:57Z,Sentinel-1,2024-07-01T00:13:57Z,2024-07-04T17:12:16Z
194087_0,clear,True,True,15,11,13,1,3,Landsat;Sentinel-1;Sentinel-2,2024-07-11T17:05:11Z,Landsat,during,0.3388,1.7,251.09,2024-07-01T00:14:22Z,Sentinel-1,2024-06-29T17:12:00Z,2024-07-14T17:12:00Z
194088_0,cloudy,False,False,2,1,0,0,0,Sentinel-2,2024-07-07T17:21:51Z,Sentinel-2,pre,1.0,35.2,-7.3,,,2024-07-07T17:21:51Z,2024-07-09T17:11:56Z
194192_0,clear,True,True,20,16,16,3,6,Landsat;Sentinel-1;Sentinel-2,2024-07-10T17:11:10Z,Landsat,during,0.3662,0.7,227.19,2024-07-01T00:14:34Z,Sentinel-1,2024-06-30T17:31:46Z,2024-07-19T17:05:22Z
194228_0,radar,True,False,3,2,1,1,0,Sentinel-1;Sentinel-2,2024-07-02T23:57:48Z,Sentinel-1,during,0.5176,,0.8,,,2024-07-01T17:02:16Z,2024-07-04T17:12:12Z
194242_0,cloudy,False,False,2,1,0,0,0,Sentinel-2,2024-07-09T17:12:12Z,Sentinel-2,pre,1.0,100.0,-29.6,,,2024-07-09T17:12:12Z,2024-07-11T17:02:14Z
194324_0,cloudy,False,True,5,1,0,0,0,Landsat;Sentinel-1;Sentinel-2,2024-07-14T16:46:43Z,Landsat,pre,1.0,24.7,-30.22,2024-07-14T16:46:43Z,Landsat,2024-07-14T16:46:43Z,2024-07-16T17:02:01Z
194668_0,cloudy,False,True,3,0,0,0,0,Landsat;Sentinel-2,2024-07-29T16:53:18Z,Landsat,pre,1.0,24.6,-43.11,2024-07-29T16:53:18Z,Landsat,2024-07-29T16:53:18Z,2024-07-30T16:47:16Z
194837_0,clear,True,True,4,2,0,1,1,Landsat;Sentinel-1;Sentinel-2,2024-07-26T17:02:29Z,Sentinel-2,post,1.0,25.0,27.71,2024-07-24T17:12:25Z,Sentinel-2,2024-07-23T16:41:17Z,2024-07-26T23:57:21Z
194840_0,clear,True,False,3,1,0,0,1,Landsat;Sentinel-2,2024-07-23T16:40:53Z,Landsat,post,1.0,9.9,16.68,,,2024-07-21T17:02:12Z,2024-07-23T16:40:53Z
194931_0,clear,True,False,19,17,16,2,6,Landsat;Sentinel-1;Sentinel-2,2024-07-06T16:46:46Z,Landsat,during,1.0,13.1,107.78,,,2024-07-01T17:02:05Z,2024-07-24T17:12:02Z
194931_1,clear,True,False,10,7,5,1,4,Landsat;Sentinel-1;Sentinel-2,2024-07-06T16:46:34Z,Landsat,during,0.971,16.0,34.78,,,2024-07-04T17:11:56Z,2024-07-15T16:40:43Z
195054_0,clear,True,True,4,2,0,1,1,Landsat;Sentinel-1;Sentinel-2,2024-07-30T17:32:09Z,Sentinel-2,post,0.8509,18.6,44.87,2024-07-27T17:05:14Z,Landsat,2024-07-27T17:05:14Z,2024-07-30T17:32:09Z
195125_0,clear,True,True,4,2,0,1,1,Landsat;Sentinel-1;Sentinel-2,2024-08-31T17:22:11Z,Sentinel-2,post,1.0,0.0,43.87,2024-08-28T17:05:34Z,Landsat,2024-08-28T17:05:34Z,2024-08-31T17:22:11Z
195173_0,radar,True,True,8,5,5,1,0,Landsat;Sentinel-1;Sentinel-2,2024-07-06T00:22:17Z,Sentinel-1,during,0.9997,,114.37,2024-07-01T00:13:57Z,Sentinel-1,2024-06-30T17:32:18Z,2024-07-07T17:22:29Z
202052_0,clear,True,False,5,2,0,1,1,Landsat;Sentinel-1;Sentinel-2,2025-04-22T17:02:27Z,Sentinel-2,post,1.0,16.3,40.52,,,2025-04-19T16:52:54Z,2025-04-22T17:02:27Z
202522_0,cloudy,False,False,4,2,0,0,0,Landsat;Sentinel-2,2025-05-22T17:02:31Z,Sentinel-2,post,1.0,95.1,45.04,,,2025-05-20T17:12:09Z,2025-05-22T17:02:31Z
202718_0,clear,True,False,3,2,0,0,1,Landsat;Sentinel-2,2025-06-04T17:05:03Z,Landsat,post,1.0,31.5,40.08,,,2025-06-02T17:21:52Z,2025-06-04T17:05:03Z
204312_0,clear,True,False,5,4,1,2,1,Sentinel-1;Sentinel-2,2025-06-27T17:22:09Z,Sentinel-2,post,1.0,34.9,41.87,,,2025-06-24T17:12:12Z,2025-06-27T17:22:09Z
204326_0,cloudy,False,False,6,3,1,0,0,Landsat;Sentinel-1;Sentinel-2,2025-08-10T17:02:22Z,Sentinel-2,post,1.0,100.0,6.84,,,2025-08-08T17:12:03Z,2025-08-11T16:41:18Z
204583_0,cloudy,False,True,3,1,0,0,0,Landsat;Sentinel-1;Sentinel-2,2025-08-17T16:53:31Z,Landsat,post,1.0,50.1,42.31,2025-08-14T23:57:51Z,Sentinel-1,2025-08-14T23:57:51Z,2025-08-17T16:53:31Z
204708_0,cloudy,False,False,4,3,2,0,0,Landsat;Sentinel-2,2025-06-30T16:53:44Z,Landsat,post,1.0,83.4,24.9,,,2025-06-27T17:22:43Z,2025-06-30T16:53:44Z
204939_0,clear,True,True,4,2,0,0,1,Landsat;Sentinel-1;Sentinel-2,2025-06-04T17:05:03Z,Landsat,post,1.0,31.5,42.08,2025-06-01T00:21:26Z,Sentinel-1,2025-06-01T00:21:26Z,2025-06-04T17:05:03Z
205243_0,clear,True,True,4,1,0,0,1,Landsat;Sentinel-1;Sentinel-2,2025-07-04T17:12:14Z,Sentinel-2,post,0.7791,34.7,17.2,2025-07-03T17:02:12Z,Sentinel-2,2025-07-02T16:40:47Z,2025-07-04T17:12:14Z
