BEGIN_YEARMONTH,BEGIN_DAY,END_YEARMONTH,END_DAY,EVENT_ID,STATE,EVENT_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
199605,9,199605,10,5544259,IOWA,Flood,POWESHIEK,0,0,0,0,50K,,,,,
199607,17,199607,19,5561986,IOWA,Flood,GREENE,0,0,0,0,,,,,,
199606,19,199606,26,5561632,IOWA,Flood,PLYMOUTH,0,0,0,0,.3M,1M,,,,
199607,16,199607,18,5557036,IOWA,Flood,HARRISON,0,0,0,0,1.5M,8M,,,,
199605,9,199605,13,5544667,IOWA,Flood,MAHASKA,0,0,0,0,,,,,,
199605,26,199605,31,5544724,IOWA,Flood,DECATUR,0,0,0,0,,,,,,
199606,19,199606,24,5561631,IOWA,Flood,SIOUX,0,0,0,0,.2M,.5M,,,,
199606,21,199606,21,5563944,IOWA,Flash Flood,HARRISON,0,0,0,0,,,,,,
199606,21,199606,21,5563941,IOWA,Flash Flood,MONONA,0,0,0,0,,,,,,
199606,21,199606,21,5563942,IOWA,Flash Flood,HARRISON,0,0,0,0,,,,,,
199606,23,199606,23,5563947,IOWA,Flash Flood,PAGE,0,0,0,0,,,,,,
199605,9,199605,13,5544666,IOWA,Flood,MARION,0,0,0,0,,,,,,
199605,23,199605,24,5544684,IOWA,Flood,JASPER,0,0,0,0,,,,,,
199606,19,199606,26,5561634,IOWA,Flood,WOODBURY,0,0,0,0,.4M,1M,,,,
199605,23,199605,24,5544700,IOWA,Flood,DECATUR,0,0,0,0,,,,,,
199607,17,199607,19,5561984,IOWA,Flood,CALHOUN,0,0,0,0,,,,,,
199607,17,199607,19,5561985,IOWA,Flood,CARROLL,0,0,0,0,,,,,,
199606,21,199606,21,5563943,IOWA,Flash Flood,SHELBY,0,0,0,0,,,,,,
199607,17,199607,19,5561983,IOWA,Flood,SAC,0,0,0,0,,,,,,
199602,9,199602,12,5540505,IOWA,Flood,TAMA,0,0,0,0,,,,,,
199608,4,199608,5,5557627,IOWA,Flood,SAC,0,0,0,0,75K,5K,,,,
199608,4,199608,5,5557628,IOWA,Flood,POCAHONTAS,0,0,0,0,75K,5K,,,,
199602,9,199602,12,5540509,IOWA,Flood,POWESHIEK,0,0,0,0,,,,,,
199707,24,199707,24,5603124,IOWA,Flood,WAYNE,0,0,0,0,25K,15K,,,,
199707,24,199707,24,5603125,IOWA,Flash Flood,POLK,0,0,0,0,.2M,20K,,,,
199707,24,199707,24,5603119,IOWA,Flood,DALLAS,0,0,0,0,25K,15K,,,,
199707,22,199707,22,5603028,IOWA,Flash Flood,PALO ALTO,0,0,0,0,.1M,5K,,,,
199706,1,199706,30,5612745,IOWA,Flood,MILLS,0,0,0,0,,,,,,
199708,16,199708,16,5609905,IOWA,Flash Flood,MUSCATINE,0,0,0,0,,,,,,
199706,1,199706,30,5612746,IOWA,Flood,FREMONT,0,0,0,0,,,,,,
199702,18,199702,24,5585532,IOWA,Flood,GRUNDY,0,0,0,0,,,,,,
199702,18,199702,24,5585540,IOWA,Flood,TAMA,0,0,0,0,,,,,,
199702,18,199702,24,5585529,IOWA,Flood,WEBSTER,0,0,0,0,,,,,,
199702,18,199702,28,5590765,IOWA,Flood,FREMONT,0,0,0,0,,,,,,
199702,18,199702,24,5586115,IOWA,Flood,POLK,0,0,0,0,,,,,,
199702,18,199702,24,5586131,IOWA,Flood,RINGGOLD,0,0,0,0,,,,,,
199707,24,199707,24,5603121,IOWA,Flood,WARREN,0,0,0,0,25K,15K,,,,
199707,24,199707,24,5603122,IOWA,Flood,LUCAS,0,0,0,0,25K,15K,,,,
199707,24,199707,24,5603123,IOWA,Flood,APPANOOSE,0,0,0,0,25K,15K,,,,
199707,26,199707,26,5603146,IOWA,Flash Flood,PALO ALTO,0,0,0,0,.15M,20K,,,,
199702,18,199702,24,5585536,IOWA,Flood,GREENE,0,0,0,0,,,,,,
199702,18,199702,24,5586130,IOWA,Flood,TAYLOR,0,0,0,0,,,,,,
199702,18,199702,24,5586128,IOWA,Flood,MONROE,0,0,0,0,,,,,,
199707,24,199707,24,5603120,IOWA,Flood,POLK,0,0,0,0,25K,15K,,,,
199702,18,199702,24,5586123,IOWA,Flood,MAHASKA,0,0,0,0,,,,,,
199702,18,199702,24,5585538,IOWA,Flood,STORY,0,0,0,0,,,,,,
199702,18,199702,24,5586132,IOWA,Flood,DECATUR,0,0,0,0,,,,,,
199702,19,199702,19,5586136,IOWA,Flash Flood,POLK,0,0,1,0,30K,,,,,
199702,19,199702,20,5586137,IOWA,Flash Flood,POLK,0,0,0,0,.1M,,,,,
199702,18,199702,24,5585539,IOWA,Flood,MARSHALL,0,0,0,0,,,,,,
199706,21,199706,26,5598899,IOWA,Flood,HAMILTON,0,0,0,0,,,,,,
199702,18,199702,28,5590770,IOWA,Flood,MILLS,0,0,0,0,,,,,,
199702,18,199702,24,5586118,IOWA,Flood,CASS,0,0,0,0,,,,,,
199702,18,199702,24,5586113,IOWA,Flood,GUTHRIE,0,0,0,0,,,,,,
199702,18,199702,24,5585530,IOWA,Flood,HAMILTON,0,0,0,0,,,,,,
199706,21,199706,26,5598895,IOWA,Flood,FRANKLIN,0,0,0,0,,,,,,
199706,21,199706,26,5598893,IOWA,Flood,HUMBOLDT,0,0,0,0,,,,,,
199702,20,199702,22,5589259,IOWA,Flash Flood,JACKSON,0,0,0,0,,,,,,
199706,21,199706,26,5598896,IOWA,Flood,BUTLER,0,0,0,0,,,,,,
199706,21,199706,26,5598897,IOWA,Flood,BREMER,0,0,0,0,,,,,,
199706,21,199706,26,5598894,IOWA,Flood,WRIGHT,0,0,0,0,,,,,,
199702,18,199702,24,5586124,IOWA,Flood,ADAMS,0,0,0,0,,,,,,
199705,1,199705,3,5613755,IOWA,Flood,HARDIN,0,0,0,0,,,,,,
199705,1,199705,3,5613757,IOWA,Flood,TAMA,0,0,0,0,,,,,,
199705,7,199705,8,5613758,IOWA,Flood,WARREN,0,0,0,0,,,,,,
199705,7,199705,8,5613759,IOWA,Flood,MARION,0,0,0,0,,,,,,
199702,18,199702,24,5586129,IOWA,Flood,WAPELLO,0,0,0,0,,,,,,
199702,18,199702,24,5586127,IOWA,Flood,LUCAS,0,0,0,0,,,,,,
199702,18,199702,24,5585535,IOWA,Flood,CARROLL,0,0,0,0,,,,,,
199702,18,199702,24,5586135,IOWA,Flood,DAVIS,0,0,0,0,.75M,,,,,
199704,1,199704,15,5605550,IOWA,Flood,CHEROKEE,0,0,0,0,,,,,,
