id,foreign_id,lat,lng,description,river,town,active
11880,WAPSI06,42.392502,-91.761879,Wapsipinicon River at Quasqueton (WAPSI06),Wapsipinicon River,Quasqueton,t
1823,SPRINGCR01,41.551038,-93.446148,Spring Creek at SE 32nd Ave. (SPRINGCR01),Spring Creek,Pleasant Hill,t
11889,UNIONCR01,41.8298,-97.363174,Union Creek at Madison (UNIONCR01),Union Creek,Madison,t
11869,WFCEDAR01,42.704048,-92.888971,West Fork Cedar River at Kelsey (WFCEDAR01),West Fork Cedar River,Kelsey,t
758,WNBGORV02,43.153329,-93.171056,Winnebago River at S Illinois Ave at Mason City (WNBGORV02),Winnebago River,Mason City,t
1836,MAPLERV01,42.351117,-95.479425,Maple River at HWT59 (MAPLERV01),Maple River,Ida Grove,t
250501,WFCEDARRV2505,42.802885,-93.035901,West Fork Cedar River near Aredale (WFCEDARRV2505),West Fork Cedar River,Aredale,t
1826,DSMNSRV02,42.042768,-93.933207,"Des Moines River at E41 (Old HWY 30, Lincoln HWY) (DSMNSRV02)",Des Moines River,Boone,t
996,BEVRCRK02,42.4553,-93.2233,Beaver Creek at 170th St at Owasa (BEVRCRK02),Beaver Creek,Owasa,t
738,RHNCR01,41.722496,-91.790559,Rhine Creek at Augusta Ave at Oxford (RHNCR01),Rhine Creek,Oxford,t
1763,WFLTLSIOUX01,42.492951,-96.075634,West Fork Little Sioux River at Moville (WFLTLSIOUX01),West Fork Little Sioux River,Moville,t
1858,OTTRCRK02,42.928604,-91.696963,Otter Creek at Elgin (OTTRCRK02),Otter Creek,Elgin,t
1835,MSQUTOCR02,41.46685,-95.603946,Mosquito Creek at Railroad HWY (MSQUTOCR02),Mosquito Creek,Neola,t
1044,ELKRN01,42.498051,-92.252549,Elk Run Creek at Independence Ave at Waterloo (ELKRN01),Elk Run Creek,Waterloo,t
1920,ENISH01,40.694728,-95.56248,East Nishnabotna River at Riverton (ENISH01),East Nishnabotna River,Riverton,t
1042,NBEARCR01,42.275414,-91.985833,North Bear Creek at 51st St Dr at Brandon (NBEARCR01),North Bear Creek,Brandon,t
1032,TRBLSM01,41.4611,-94.8872,Troublesome Creek at Troublesome Creek Rd at Lorah (TRBLSM01),Troublesome Creek,Lorah,t
1011,HOOSRCR01,41.8715,-91.5882,Hoosier Creek at Vista Rd at Ely (HOOSRCR01),Hoosier Creek,Ely,t
1031,TIPTNCR02,42.3683,-93.339,Tipton Creek at 230th St at Hubbard (TIPTNCR02),Tipton Creek,Hubbard,t
714,BRSHYCR01,41.87696,-94.769562,Brushy Creek at 330th St at Dedham (BRSHYCR01),Brushy Creek,Dedham,t
1663,ONIONCR01,42.053529,-93.698584,Onion Creek at N 500th Ave at Ames (ONIONCR01),Onion Creek,Ames,t
757,WNBGORV01,43.121176,-93.1227,Winnebago River at Thrush Ave at Mason City (WNBGORV01),Winnebago River,Mason City,t
1854,BRCKCMP01,43.133352,-91.889389,Brockcamp Creek at Festina (BRCKCMP01),Brockcamp Creek,Festina,t
751,UIWARV02,43.34,-91.8339,Upper Iowa River at Bluffton Rd at Decorah (UIWARV02),Upper Iowa River,Decorah,t
1761,FLOYDRV02,42.80027,-96.174569,Floyd River at Le Mars (FLOYDRV02),Floyd River,Le Mars,t
1952,NFMQKTA02,42.482729,-91.123889,North Fork Maquoketa River at Dyersville (NFMQKTA02),North Fork Maquoketa River,Dyersville,t
1650,NFCTFSH01,42.486343,-90.703606,North Fork Catfish Creek at Brunskill Road (NFCTFSH01),North Fork Catfish Creek,Dubuque,t
1847,MADCRK02,41.478706,-91.019951,Mad Creek at 180th ST/County G14 (MADCRK02),Mad Creek,Muscatine,t
1005,DRYCR02,42.0217,-91.8535,Dry Creek at 69th St at Atkins (DRYCR02),Dry Creek,Atkins,t
11876,OCHYDNRV02,43.327991,-95.486053,Ocheyedan River at May City (OCHYDNRV02),Ocheyedan River,May City,t
1916,WFCRKDCR01,41.281708,-91.715885,West Fork Crooked Creek at Washington (WFCRKDCR01),West Fork Crooked Creek,Washington,t
1755,DRYRNCRK01,42.525179,-92.441413,Dry Run Creek at Cedar Falls (DRYRNCRK01),Dry Run Creek,Cedar Falls,t
1739,CEDARRV07,43.499606,-93.001956,Cedar River at Ortranto (CEDARRV07),Cedar River,Ortranto,t
1951,WAPSI03,41.971925,-90.960057,Wapsipinicon River at Oxford Mills (WAPSI03),Wapsipinicon River,Oxford Mills,t
1832,SRCCNRV01,41.564102,-94.233173,South Raccoon River at Dexfield RD (SRCCNRV01),South Raccoon River,Redfield,t
725,HRGVCR01,42.756143,-93.025721,Hargrave Creek at Franklin Ave at Dumont (HRGVCR01),Hargrave Creek,Dumont,t
1818,SLOUGHCR01,43.206325,-92.732549,Slough Creek at HWY 218 (SLOUGHCR01),Slough Creek,Orchard,t
1043,BLUECR01,42.202583,-91.824506,Blue Creek at Urbana Rd at Center Point (BLUECR01),Blue Creek,Center Point,t
1745,LTLSIOUX01,42.74514,-95.551691,Little Sioux River at Cherokee (LTLSIOUX01),Little Sioux River,Cherokee,t
998,BNNTTCR01,41.9529,-92.6492,Bennett Creek at G Ave at Tama (BNNTTCR01),Bennett Creek,Tama,t
11868,SHLRK05,43.005372,-92.925499,Shell Rock River at Rockford (SHLRK05),Shell Rock River,Rockford,t
747,SQWCR02,42.036626,-93.645004,Ioway Creek at Stange Rd at Ames (SQWCR02),Ioway Creek,Ames,t
1981,BEARCREEK01,42.137245,-93.542191,Bear Creek at Roland (BEARCREEK01),Bear Creek,Roland,t
