Join_Count,TARGET_FID,id,foreign_id,foreign_id1,lat,lng,description,river,town,active,TNMID,METASOURCE,SOURCEDATA,SOURCEORIG,SOURCEFEAT,LOADDATE,GNIS_ID,AREAACRES,AREASQKM,STATES,HUC8,NAME,Shape_Leng,usgs_site_no_revised
1,62,1970,06602190,ecli4,42.475,-96.1897,Elliott Creek at Lawton (06602190),Elliott Creek,Lawton,t,{0B4CD9CA-0CD3-4B46-9A20-22E101E6B4AC}, , , , ,6/11/2012 0:00:00,0.0,618384.11,2502.51,IA,10230004.0,Monona-Harrison Ditch,3.72696891955,6602190
1,63,673,06904010,moli4,40.692517,-92.772418,Chariton River near Moulton (MOLI4-06904010),Chariton River,Moulton,t,{826447E1-861E-4BC6-8E06-83FDC93BE10C}, , , , ,6/11/2012 0:00:00,0.0,865429.26,3502.27,"IA,MO",10280201.0,Upper Chariton,4.2714772928,6904010
0,64,1944,06478500,russ2,43.185826,-97.635622,James River near Scotland (06478500),James River,Scotland,t,,,,,,,,,,,,,,6478500
1,65,675,06609100,blan1,41.534167,-96.096389,Missouri River near Blair (BLAN1),Missouri,Blair,t,{137604D3-AC1D-4A2C-99B1-C2EE95514D5C}, , , , ,6/11/2012 0:00:00,0.0,712850.78,2884.81,"IA,NE",10230006.0,Big Papillion-Mosquito,4.42218693503,6609100
1,66,671,06903400,chti4,40.95189,-93.259848,Chariton River near Chariton (CHTI4-06903400),Chariton River,Chariton,t,{826447E1-861E-4BC6-8E06-83FDC93BE10C}, , , , ,6/11/2012 0:00:00,0.0,865429.26,3502.27,"IA,MO",10280201.0,Upper Chariton,4.2714772928,6903400
1,67,624,05476590,emti4,43.126111,-94.705833,Des Moines River at Emmetsburg (EMTI4-05476590),Des Moines River,Emmetsburg,t,{160E026C-2368-4E10-BD10-AC1A55DD6A5A}, , , , ,6/11/2012 0:00:00,0.0,688598.17,2786.66,"IA,MN",7100002.0,Upper Des Moines,4.37939475155,5476590
1,68,1968,06483495,boci4,43.2453,-96.1775,Burr Oak Creek near Perkins (06483495),Burr Oak Creek,Perkins,t,{2B797D37-69F7-4E74-8D60-A55ED945FA58}, , , , ,10/6/2016 0:00:00,0.0,1074463.81,4348.2,"IA,MN",10170204.0,Rock,4.71877570429,6483495
0,69,713,YANS2,yans2,42.866111,-97.393611,Missouri River at Yankton (YANS2),Missouri,Yankton,t,,,,,,,,,,,,,,6467500
1,70,2326,06817300,enoi4,40.727472,-94.98025,East Nodaway River at Highway 2 near Clarinda (06817300),East Nodaway River,Clarinda,t,{8DA1A254-3909-4A8F-8659-399066C5B692}, , , , ,6/11/2012 0:00:00,0.0,639551.5,2588.18,"IA,MO",10240010.0,Nodaway,4.96633042891,6817300
1,71,1938,06482610,coss2,43.616363,-96.565323,Big Sioux River near Hawarden (06483950),Split Rock Creek,Brandon,t,{79EA5FED-F1D1-42CD-AF83-6BAC73F4555C}, , , , ,6/11/2012 0:00:00,0.0,2188003.06,8854.54,"IA,MN,NE,SD",10170203.0,Lower Big Sioux,8.63624008646,6482610
1,72,541,05454000,irci4,41.700017,-91.487668,Rapid Creek near Iowa City (05454000),Rapid Creek,Iowa City,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0.0,1078893.67,4366.13,IA,7080209.0,Lower Iowa,5.82214410209,5454000
1,73,629,05481000,wbci4,42.432475,-93.805776,Boone River near Webster City (WBCI4-05481000),Boone River,Webster City,t,{F9346510-2B8F-40F7-810D-6F1E7A48ADB6}, , , , ,6/11/2012 0:00:00,0.0,581403.23,2352.86,IA,7100005.0,Boone,3.29791974075,5481000
1,74,659,06607200,mapi4,42.156934,-95.810007,Maple River at Mapleton (MAPI4-06607200),Maple River,Mapleton,t,{3F5B0268-6823-46BE-B1FB-4C1673918B27}, , , , ,6/11/2012 0:00:00,0.0,473551.45,1916.4,IA,10230005.0,Maple,3.6413615574,6607200
1,75,1642,ESKI4,eski4,42.166111,-93.577778,South Skunk River at Ames (ESKI4),South Skunk River,Ames,t,{A3289F99-CD86-4AF6-A77E-5442630D5AFD}, , , , ,6/11/2012 0:00:00,0.0,1179865.93,4774.75,IA,7080105.0,South Skunk,6.74624294085,5469990
1,76,605,05459500,mcwi4,43.164962,-93.192703,Winnebago River at Mason City (MCWI4-05459500),Winnebago River,Mason City,t,{7E36A47E-08C4-4336-831F-7153E955FBD0}, , , , ,6/11/2012 0:00:00,0.0,440576.64,1782.95,"IA,MN",7080203.0,Winnebago,3.63671953886,5459500
1,77,591,05418500,maqi4,42.083353,-90.632912,Maquoketa River near Maquoketa (MAQI4-05418500),Maquoketa River,Maquoketa,t,{54F3C0AD-2A15-441C-BD3B-1373FB7DBC85}, , , , ,6/11/2012 0:00:00,0.0,1196986.08,4844.04,IA,7060006.0,Maquoketa,5.43151936743,5418500
1,78,632,05482000,dmoi4,41.612489,-93.621051,Des Moines River at 2nd Ave at Des Moines (DMOI4-05482000),Des Moines River,Des Moines,t,{691DCFE7-DFF0-48AA-9159-7CD3F9B2C5C2}, , , , ,6/11/2012 0:00:00,0.0,1104287.57,4468.9,IA,7100004.0,Middle Des Moines,7.05359467269,5482000
1,79,677,BRLI4,brli4,40.79806,-91.09167,Mississippi River at Burlington (BRLI4),Mississippi,Burlington,t,{83925D5C-3127-4C58-BFB6-A623B748AAE9}, , , , ,6/11/2012 0:00:00,0.0,1546231.99,6257.38,"IA,IL,MO",7080104.0,Flint-Henderson,6.48831613038,5474000
1,80,1939,06485910,bsjs2,42.626383,-96.515587,Vermillion River near Vermillion (06479010),Big Sioux River,Jefferson,t,{79EA5FED-F1D1-42CD-AF83-6BAC73F4555C}, , , , ,6/11/2012 0:00:00,0.0,2188003.06,8854.54,"IA,MN,NE,SD",10170203.0,Lower Big Sioux,8.63624008646,6485910
1,81,588,05412020,ekdi4,42.843485,-91.401277,Turkey River above French Hollow Cr at Elkader (EKDI4-05412020),Turkey River abv French Hollow Cr,Elkader,t,{5F37CEFE-0361-453D-BE80-A71DB9CD1EF6}, , , , ,6/11/2012 0:00:00,0.0,1084109.94,4387.24,IA,7060004.0,Turkey,4.59363228966,5412020
1,82,1607,05420460,cbsi4,41.827331,-90.180766,Beaver Slough at 3rd St at Clinton (05420460-CBSI4),Beaver Slough,Clinton,t,{C5D4BA12-6399-4A40-A170-2F26C7D2C6B1}, , , , ,6/11/2012 0:00:00,0.0,634693.16,2568.51,"IA,IL",7080101.0,Copperas-Duck,5.58462516616,5420460
