Join_Count,TARGET_FID,id,foreign_id,lat,lng,description,river,town,active,TNMID,METASOURCE,SOURCEDATA,SOURCEORIG,SOURCEFEAT,LOADDATE,GNIS_ID,AREAACRES,AREASQKM,STATES,HUC8,NAME,Shape_Leng
1,30,1688,05464780,41.787222000000000,-91.313749999999999,Cedar River at Cedar Bluff (05464780),Cedar River,Cedar Bluff,t,{65F2CD30-B70F-474A-8E7D-FFABDB288751}, , , , ,6/11/2012 0:00:00,0,703253.719999999972060,2845.969999999999800,IA,07080206,Lower Cedar,4.568381277340000
1,31,679,05465100,41.278336000000003,-91.345727999999994,Iowa River at Columbus Junction (05465100-CJTI4),Iowa River,Columbus Junction,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0,1078893.669999999925494,4366.130000000000109,IA,07080209,Lower Iowa,5.822144102090000
0,32,695,LACW3,43.801667000000002,-91.258888999999996,Mississippi River at La Crosse (LACW3),Mississippi,La Crosse,t,,,,,,,,,,,,,
1,33,2322,05464475,41.989415999999999,-91.759597999999997,Morgan Creek near Covington (05464475),Morgan Creek,Covington,t,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00:00,0,1546778.489999999990687,6259.600000000000364,IA,07080205,Middle Cedar,5.820869754050000
1,34,545,05455010,41.651406000000001,-91.507667999999995,South Branch Ralston Creek at Iowa City (05455010),South Branch Ralston Creek,Iowa City,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0,1078893.669999999925494,4366.130000000000109,IA,07080209,Lower Iowa,5.822144102090000
1,35,611,05464420,42.069163000000003,-91.785179999999997,Cedar River at Blairs Ferry Rd at Palo (PLOI4-05464420),Cedar River,Palo,t,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00:00,0,1546778.489999999990687,6259.600000000000364,IA,07080205,Middle Cedar,5.820869754050000
1,36,565,05483450,41.778596999999998,-94.492749000000003,Middle Raccoon River near Bayard (05483450),Middle Raccoon River,Bayard,t,{FFBAED06-1CB1-450D-AB03-D3562BAB3878}, , , , ,6/11/2012 0:00:00,0,727597.219999999972060,2944.480000000000018,IA,07100007,South Raccoon,3.920604146510000
1,37,1635,PELI4,41.369199999999999,-92.980621999999997,Des Moines River at Red Rock Reservoir (PELI4),Des Moines River,Red Rock Reservoir,t,{BD63BFB7-471A-41B1-8B65-1FCFFD956A3C}, , , , ,6/11/2012 0:00:00,0,1370685.189999999944121,5546.970000000000255,"IA,MO",07100009,Lower Des Moines,5.896311936120000
1,38,707,RCKI2,41.517780000000002,-90.561940000000007,Mississippi River at Rock Island (RCKI2),Mississippi,Rock Island,t,{C5D4BA12-6399-4A40-A170-2F26C7D2C6B1}, , , , ,6/11/2012 0:00:00,0,634693.160000000032596,2568.510000000000218,"IA,IL",07080101,Copperas-Duck,5.584625166160000
0,39,1942,06479010,42.817219000000001,-96.924211000000000,Vermillion River near Vermillion (06479010),Vermillion River,Vermillion,t,,,,,,,,,,,,,
0,40,559,05476000,43.618333000000000,-94.984722000000005,"Des Moines River at Jackson, MN (JCKM5-05476000)",Des Moines River,"Jackson, MN",t,,,,,,,,,,,,,
1,41,682,06601200,42.007221999999999,-96.241388999999998,Missouri River at Decatur (DCTN1),Missouri,Decatur,t,{5B6423E1-71A2-4772-946C-68C787D9B1CF}, , , , ,6/11/2012 0:00:00,0,1029616.150000000023283,4166.710000000000036,"IA,NE,SD",10230001,Blackbird-Soldier,7.313016925290000
1,42,1971,06605750,42.972499999999997,-95.161100000000005,Willow Creek near Cornell (06605750),Willow Creek,Cornell,t,{AC6CFCCF-A163-42EF-A69B-B849D9CA226B}, , , , ,12/1/2016 0:00:00,0,1812413.429999999934807,7334.579999999999927,"IA,MN",10230003,Little Sioux,8.940255633720000
1,43,1630,05483470,41.695556000000003,-94.381666999999993,Lake Panorama at Panora (05483470-PNLI4),Lake Panorama,Panora,t,{FFBAED06-1CB1-450D-AB03-D3562BAB3878}, , , , ,6/11/2012 0:00:00,0,727597.219999999972060,2944.480000000000018,IA,07100007,South Raccoon,3.920604146510000
1,44,572,05487980,41.246639000000002,-93.290166999999997,White Breast Creek near Dallas (05487980),White Breast Creek,Dallas,t,{6BC7C38A-1876-4BD3-89C0-5898FB18BBA1}, , , , ,6/11/2012 0:00:00,0,1563257.959999999962747,6326.289999999999964,IA,07100008,Lake Red Rock,6.189665429280000
1,45,566,05483600,41.687209000000003,-94.371077000000000,Middle Raccoon River at Panora (05483600),Middle Raccoon River,Panora,t,{FFBAED06-1CB1-450D-AB03-D3562BAB3878}, , , , ,6/11/2012 0:00:00,0,727597.219999999972060,2944.480000000000018,IA,07100007,South Raccoon,3.920604146510000
1,46,654,06600500,42.576659999999997,-96.311415999999994,Floyd River at James (JMEI4-06600500),Floyd River,James,t,{0E741BD6-D424-4C09-B0FD-E17D9C27E19D}, , , , ,10/6/2016 0:00:00,0,586327.510000000009313,2372.789999999999964,IA,10230002,Floyd,3.753769183560000
